City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
285,Inuvik,CA,68.3499,-133.7218,54.61,45,40,6.91,scattered clouds
286,Port Moresby,PG,-9.4431,147.1797,83.89,67,100,15.61,overcast clouds
287,Sayyan,YE,15.1718,44.3244,62.46,22,0,3.44,clear sky
288,Omboue,GA,-1.5746,9.2618,75.94,90,91,7.56,overcast clouds
289,Talnakh,RU,69.4865,88.3972,34.43,100,100,5.55,light rain
290,Ambunti,PG,-4.2365,142.8448,83.64,73,83,2.24,broken clouds
291,Lorengau,PG,-2.0226,147.2712,83.98,73,100,10.25,overcast clouds
292,Ahipara,NZ,-35.1667,173.1667,60.01,82,44,15.32,scattered clouds
293,Balgazyn,RU,51.0,95.2,37.94,96,100,1.74,overcast clouds
294,Hasaki,JP,35.7333,140.8333,76.17,60,0,11.12,clear sky
295,Port Hedland,AU,-20.3167,118.5667,77.05,65,65,12.66,broken clouds
296,Agadir,MA,30.4202,-9.5982,64.85,77,100,2.26,overcast clouds
297,Jalu,LY,29.0331,21.5482,77.09,45,0,11.23,clear sky
298,Cockburn Town,TC,21.4612,-71.1419,80.1,81,16,19.71,few clouds
299,Pasighat,IN,28.0667,95.3333,79.7,85,54,1.92,broken clouds
300,Quatre Cocos,MU,-20.2078,57.7625,72.09,80,38,9.55,scattered clouds
301,Port Keats,AU,-14.25,129.55,84.24,36,100,9.82,overcast clouds
302,Bambous Virieux,MU,-20.3428,57.7575,72.21,94,20,9.53,few clouds
303,Kostomuksha,RU,64.571,30.5767,44.89,71,100,6.08,overcast clouds
304,Strezhevoy,RU,60.7333,77.5889,64.38,53,26,11.01,scattered clouds
305,Rustenburg,ZA,-25.6676,27.2421,51.04,33,88,4.94,overcast clouds
306,Astana,KZ,51.1801,71.446,71.55,35,40,14.03,scattered clouds
307,Yumaguzino,RU,52.9041,56.3933,59.56,95,36,5.55,scattered clouds
308,Jacareacanga,BR,-6.2222,-57.7528,75.61,73,38,1.95,scattered clouds
309,Beloha,MG,-25.1667,45.05,62.29,86,5,5.53,clear sky
310,Pangody,RU,65.85,74.4859,38.61,61,100,13.69,overcast clouds
311,Terekli-Mekteb,RU,44.1671,45.8698,62.64,79,1,9.22,clear sky
312,Kununurra,AU,-15.7667,128.7333,78.78,25,47,10.36,scattered clouds
313,Nabire,ID,-3.3667,135.4833,84.81,72,38,3.49,scattered clouds
314,Prince Rupert,CA,54.3161,-130.3201,55.49,82,90,6.91,light rain
315,Grand-Lahou,CI,5.1367,-5.0242,79.39,84,82,5.95,light rain
316,Pevek,RU,69.7008,170.3133,39.54,68,22,4.97,few clouds
317,Perth,AU,-31.9333,115.8333,61.66,75,0,15.28,clear sky
318,Karasuk,RU,53.7377,78.0403,68.22,46,53,16.02,broken clouds
319,Cedar City,US,37.6775,-113.0619,76.39,10,1,8.05,clear sky
320,Putyatino,RU,54.16,41.1169,43.03,84,100,12.55,moderate rain
321,Den Helder,NL,52.9599,4.7593,53.98,93,20,11.5,few clouds
322,Adrar,MR,20.5022,-10.0711,89.53,28,100,11.54,overcast clouds
323,Porto Novo,BJ,6.4965,2.6036,81.39,80,100,7.49,overcast clouds
324,Aksum,ET,14.1245,38.7244,65.82,30,5,4.59,clear sky
325,Slavyanka,RU,42.8633,131.3847,51.58,92,100,9.42,overcast clouds
326,Patan,NP,27.6667,85.3333,70.18,100,75,2.3,broken clouds
327,Iquitos,PE,-3.7481,-73.2472,77.04,94,90,4.61,moderate rain
328,Verkhoyansk,RU,67.5447,133.385,51.37,71,100,2.19,overcast clouds
329,Rivera,UY,-30.9053,-55.5508,43.41,67,0,2.33,clear sky
330,Charagua,BO,-19.8,-63.2167,57.4,50,100,5.61,overcast clouds
331,Guilin,CN,25.2819,110.2864,75.31,77,52,0.54,broken clouds
332,Chama,CH,47.1821,8.4636,52.05,76,0,1.5,clear sky
333,Biak,ID,-0.9131,122.8766,82.0,72,100,5.14,overcast clouds
334,Fare,PF,-16.7,-151.0167,79.3,74,100,18.01,overcast clouds
335,Lompoc,US,34.6391,-120.4579,73.54,79,1,11.5,clear sky
336,Nuristan,AF,35.3,70.8333,43.25,52,1,11.86,clear sky
337,Ugoofaaru,MV,5.6667,73.0,83.32,70,74,19.04,broken clouds
338,Matara,LK,5.9485,80.5353,81.21,83,100,14.18,overcast clouds
339,Ponta Do Sol,PT,32.6667,-17.1,63.23,53,13,2.17,few clouds
340,Pacific Grove,US,36.6177,-121.9166,83.44,77,1,4.0,clear sky
341,Oni,GE,42.5794,43.4425,51.89,85,0,5.77,clear sky
342,Akyab,MM,20.15,92.9,84.47,76,100,5.53,moderate rain
343,Leningradskiy,RU,69.3833,178.4167,40.41,78,24,4.68,few clouds
344,Maybole,GB,55.355,-4.6803,53.73,82,0,5.93,clear sky
345,Macapa,BR,0.0389,-51.0664,78.78,100,75,4.61,broken clouds
346,Maralal,KE,1.0968,36.698,54.81,86,79,2.95,broken clouds
